symbol,name,sector,market_cap,date_of_listing
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1578999218176,1996-01-02 03:45:00+00:00
ASTRAL.NS,Astral Limited,Industrials,394647109632,2007-03-20 03:45:00+00:00
DIXON.NS,Dixon Technologies (India) Limited,Technology,882410258432,2017-09-18 03:45:00+00:00
INFY.NS,Infosys Limited,Technology,6469104173056,1996-01-01 03:45:00+00:00
TIINDIA.NS,Tube Investments of India Limited,Industrials,548365369344,2017-11-02 03:45:00+00:00
RVNL.NS,Rail Vikas Nigam Limited,Industrials,675785342976,2019-04-11 03:45:00+00:00
KPITTECH.NS,KPIT Technologies Limited,Technology,330716971008,2019-04-22 03:45:00+00:00
BLUESTARCO.NS,Blue Star Limited,Industrials,361940844544,2002-07-01 03:45:00+00:00
PAYTM.NS,One97 Communications Limited,Technology,825516687360,2021-11-18 03:45:00+00:00
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,Communication Services,878700003328,2024-04-12 03:45:00+00:00
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,Utilities,800501334016,2024-11-27 03:45:00+00:00
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,1161775022080,1996-01-01 03:45:00+00:00
LTIM.NS,LTIMindtree Limited,Technology,1770982342656,2016-07-21 03:45:00+00:00
ADANIENT.NS,Adani Enterprises Limited,Energy,2711031119872,2002-07-01 03:45:00+00:00
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,Financial Services,554671669248,2007-09-11 03:45:00+00:00
TATACOMM.NS,Tata Communications Limited,Communication Services,526879490048,2002-07-01 03:45:00+00:00
ACC.NS,ACC Limited,Basic Materials,350819778560,2002-07-01 03:45:00+00:00
SWIGGY.NS,SWIGGY LIMITED,Consumer Cyclical,897928593408,2024-11-13 03:45:00+00:00
ENRIN.NS,Siemens Energy India Limited,Utilities,1109849538560,2025-06-19 03:45:00+00:00
