symbol,name,sector,market_cap,date_of_listing
MBAPL.NS,Madhya Bharat Agro Products Limited,Basic Materials,34770370560.0,2016-09-12 03:45:00+00:00
MBEL.NS,M AND B ENGINEERING LTD,Industrials,22504966144.0,2025-08-06 03:45:00+00:00
MBLINFRA.NS,MBL Infrastructures Limited,Industrials,5680189440.0,2010-01-11 03:45:00+00:00
MCL.NS,Madhav Copper Limited,Basic Materials,1190754560.0,2017-03-15 03:45:00+00:00
MCLEODRUSS.NS,McLeod Russel India Limited,Consumer Defensive,5539145728.0,2002-08-12 03:45:00+00:00
MCLOUD.NS,Magellanic Cloud Limited,Technology,19592372224.0,2025-02-07 03:45:00+00:00
MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,528803889152.0,2012-03-09 03:45:00+00:00
MEDANTA.NS,Global Health Limited,Healthcare,334883422208.0,2022-11-18 03:45:00+00:00
MEDIASSIST.NS,MEDI ASSIST HEALTH SER L,Healthcare,36373565440.0,2024-01-23 03:45:00+00:00
MEDICAMEQ.NS,Medicamen Biotech Limited,Healthcare,5640096768.0,2021-10-27 03:45:00+00:00
MEDICO.NS,Medico Remedies Limited,Healthcare,4107707904.0,2022-05-26 03:45:00+00:00
MEDPLUS.NS,MedPlus Health Services Limited,Healthcare,94538629120.0,2021-12-23 03:45:00+00:00
MEGASOFT.NS,Megasoft Limited,Healthcare,14727450624.0,2007-07-19 03:45:00+00:00
MEGASTAR.NS,Megastar Foods Limited,Consumer Defensive,2859734784.0,2022-02-16 03:45:00+00:00
